rep_population,regime,type,sex,regimesex,vial,dev_time
RP4,aFLX,2X,f,aFLXf,2,222
RP4,aFLX,2X,f,aFLXf,3,235.3793103
RP4,aFLX,2X,f,aFLXf,4,232
RP4,aFLX,2X,f,aFLXf,5,228
RP4,aFLX,1X,f,aFLXf,1,214.5
RP4,aFLX,1X,f,aFLXf,2,220.516129
RP4,aFLX,1X,f,aFLXf,3,217.1111111
RP4,aFLX,1X,f,aFLXf,4,220.4
RP4,aFLX,1X,f,aFLXf,5,217.8235294
RP4,aFLX,1X,m,dFLXm,1,218.75
RP4,aFLX,1X,m,dFLXm,2,224.9090909
RP4,aFLX,1X,m,dFLXm,3,218.5714286
RP4,aFLX,1X,m,dFLXm,4,227.4285714
RP4,aFLX,1X,m,dFLXm,5,220.372093
RP4,bCFM,2X,f,bCFMf,1,220.25
RP4,bCFM,2X,f,bCFMf,2,228.1666667
RP4,bCFM,2X,f,bCFMf,3,220.516129
RP4,bCFM,2X,f,bCFMf,4,229.52
RP4,bCFM,2X,f,bCFMf,5,228
RP4,bCFM,1X,f,bCFMf,1,235.5384615
RP4,bCFM,1X,f,bCFMf,2,223.1111111
RP4,bCFM,1X,f,bCFMf,3,220.5263158
RP4,bCFM,1X,f,bCFMf,4,228
RP4,bCFM,1X,f,bCFMf,5,224.15
RP4,bCFM,1X,m,eCFMm,1,216.1538462
RP4,bCFM,1X,m,eCFMm,2,234.7027027
RP4,bCFM,1X,m,eCFMm,3,222.6
RP4,bCFM,1X,m,eCFMm,4,238.6
RP4,bCFM,1X,m,eCFMm,5,223.0526316
RP4,cCwt,0X,f,cCwtf,1,227.5789474
RP4,cCwt,0X,f,cCwtf,2,230.0821918
RP4,cCwt,0X,f,cCwtf,3,232.5588235
RP4,cCwt,0X,f,cCwtf,4,232.0909091
RP4,cCwt,0X,f,cCwtf,5,228.1842105
RP4,cCwt,0X,m,fCwtm,1,232.4782609
RP4,cCwt,0X,m,fCwtm,2,233.6969697
RP4,cCwt,0X,m,fCwtm,3,230.3673469
RP4,cCwt,0X,m,fCwtm,4,233.3417722
RP4,cCwt,0X,m,fCwtm,5,236.0740741
