rep_population,regimetype,block,vial,red,total
RP3,fCwtFMY,A,2,0,891
RP3,fCwtFMY,A,3,32,1040
RP3,fCwtFMY,A,4,66,983
RP3,fCwtFMY,A,5,63,770
RP3,fCwtFMY,B,1,50,755
RP3,fCwtFMY,B,2,16,675
RP3,fCwtFMY,B,3,139,760
RP3,fCwtFMY,B,4,43,678
RP3,fCwtFMY,B,5,7,928
RP4,aFLXXY,A,1,207,910
RP4,aFLXXY,A,2,202,795
RP4,aFLXXY,A,3,276,1073
RP4,aFLXXY,A,4,86,635
RP4,aFLXXY,A,5,234,722
RP4,aFLXXY,B,1,519,872
RP4,aFLXXY,B,2,388,878
RP4,aFLXXY,B,3,289,791
RP4,aFLXXY,B,4,100,639
RP4,aFLXXY,B,5,50,653
RP4,bFLXFMY,A,1,8,778
RP4,bFLXFMY,A,2,45,831
RP4,bFLXFMY,A,3,138,750
RP4,bFLXFMY,A,4,89,964
RP4,bFLXFMY,A,5,76,743
RP4,bFLXFMY,B,1,21,662
RP4,bFLXFMY,B,2,109,732
RP4,bFLXFMY,B,3,90,851
RP4,bFLXFMY,B,4,31,940
RP4,bFLXFMY,B,5,216,771
RP4,cCFMXY,A,1,306,1005
RP4,cCFMXY,A,2,289,928
RP4,cCFMXY,A,3,281,931
RP4,cCFMXY,A,4,211,759
RP4,cCFMXY,A,5,266,718
RP4,cCFMXY,B,1,397,858
RP4,cCFMXY,B,2,314,684
RP4,cCFMXY,B,3,238,591
RP4,cCFMXY,B,4,363,882
RP4,cCFMXY,B,5,318,848
RP4,dCFMFMY,A,1,151,986
RP4,dCFMFMY,A,2,0,693
RP4,dCFMFMY,A,3,3,574
RP4,dCFMFMY,A,4,0,847
RP4,dCFMFMY,A,5,55,648
RP4,dCFMFMY,B,1,103,847
RP4,dCFMFMY,B,2,26,713
RP4,dCFMFMY,B,3,81,770
RP4,dCFMFMY,B,4,52,687
RP4,dCFMFMY,B,5,15,792
RP4,eCwtXY,A,1,196,686
RP4,eCwtXY,A,2,227,877
RP4,eCwtXY,A,3,106,712
RP4,eCwtXY,A,4,388,985
RP4,eCwtXY,A,5,162,613
RP4,eCwtXY,B,1,376,801
RP4,eCwtXY,B,2,463,730
RP4,eCwtXY,B,3,286,722
RP4,eCwtXY,B,4,250,570
RP4,eCwtXY,B,5,362,843
RP4,fCwtFMY,A,1,9,850
RP4,fCwtFMY,A,2,6,678
RP4,fCwtFMY,A,3,140,933
RP4,fCwtFMY,A,4,84,722
RP4,fCwtFMY,A,5,113,899
RP4,fCwtFMY,B,1,76,481
RP4,fCwtFMY,B,2,48,877
RP4,fCwtFMY,B,3,50,606
RP4,fCwtFMY,B,4,33,893
RP4,fCwtFMY,B,5,10,563
