rep_population,regimetype,block,vial,offspring
RP3,fCwtFMX,B,4,77.5
RP3,fCwtFMX,B,5,70.8
RP4,aFLX2X,A,1,80.75
RP4,aFLX2X,A,2,64.33333333
RP4,aFLX2X,A,3,58.5
RP4,aFLX2X,A,4,78.75
RP4,aFLX2X,A,5,57.66666667
RP4,aFLX2X,B,1,75
RP4,aFLX2X,B,2,65.8
RP4,aFLX2X,B,3,58
RP4,aFLX2X,B,4,52
RP4,aFLX2X,B,5,66.2
RP4,bFLXFMX,A,1,66.5
RP4,bFLXFMX,A,2,76
RP4,bFLXFMX,A,3,72.8
RP4,bFLXFMX,A,4,72.6
RP4,bFLXFMX,A,5,73.75
RP4,bFLXFMX,B,1,60.4
RP4,bFLXFMX,B,2,75.75
RP4,bFLXFMX,B,3,73.33333333
RP4,bFLXFMX,B,4,49.4
RP4,bFLXFMX,B,5,78.5
RP4,cCFM2X,A,1,59.75
RP4,cCFM2X,A,2,73.2
RP4,cCFM2X,A,3,50.33333333
RP4,cCFM2X,A,4,65.5
RP4,cCFM2X,A,5,64.75
RP4,cCFM2X,B,1,80.75
RP4,cCFM2X,B,2,62
RP4,cCFM2X,B,3,72
RP4,cCFM2X,B,4,62.2
RP4,cCFM2X,B,5,80.4
RP4,dCFMFMX,A,1,39
RP4,dCFMFMX,A,2,51.6
RP4,dCFMFMX,A,3,66.33333333
RP4,dCFMFMX,A,4,71.2
RP4,dCFMFMX,A,5,70.6
RP4,dCFMFMX,B,1,69.75
RP4,dCFMFMX,B,2,86.6
RP4,dCFMFMX,B,3,73.5
RP4,dCFMFMX,B,4,74.5
RP4,dCFMFMX,B,5,66.8
RP4,eCwt,A,1,68.25
RP4,eCwt,A,2,62.5
RP4,eCwt,A,3,81
RP4,eCwt,A,4,66.75
RP4,eCwt,A,5,79.6
RP4,eCwt,B,1,47.8
RP4,eCwt,B,2,70.4
RP4,eCwt,B,3,64.6
RP4,eCwt,B,4,77.5
RP4,eCwt,B,5,68.2
RP4,fCwtFMX,A,1,57.4
RP4,fCwtFMX,A,2,57.66666667
RP4,fCwtFMX,A,3,52.25
RP4,fCwtFMX,A,4,67.8
RP4,fCwtFMX,A,5,60
RP4,fCwtFMX,B,1,58.5
RP4,fCwtFMX,B,2,74.4
RP4,fCwtFMX,B,3,75.6
RP4,fCwtFMX,B,4,60.25
RP4,fCwtFMX,B,5,72.8
