rep_population,regime,type,regimetype,sex,fly,size_mm
RP1,bCFM,1X,gCFMm,m,15,0.793650794
RP1,bCFM,1X,gCFMm,m,16,0.793650794
RP1,bCFM,1X,gCFMm,m,17,0.825396825
RP1,bCFM,1X,gCFMm,m,18,0.80952381
RP1,bCFM,1X,gCFMm,m,19,0.793650794
RP1,bCFM,1X,gCFMm,m,20,0.80952381
RP1,cCwt,0X,eCwtf,f,1,0.952380952
RP1,cCwt,0X,eCwtf,f,2,0.984126984
RP1,cCwt,0X,eCwtf,f,3,0.968253968
RP1,cCwt,0X,eCwtf,f,4,0.952380952
RP1,cCwt,0X,eCwtf,f,5,0.904761905
RP1,cCwt,0X,eCwtf,f,6,0.952380952
RP1,cCwt,0X,eCwtf,f,7,0.920634921
RP1,cCwt,0X,eCwtf,f,8,0.952380952
RP1,cCwt,0X,eCwtf,f,9,0.936507937
RP1,cCwt,0X,eCwtf,f,10,0.936507937
RP1,cCwt,0X,eCwtf,f,11,0.952380952
RP1,cCwt,0X,eCwtf,f,12,0.936507937
RP1,cCwt,0X,eCwtf,f,13,0.904761905
RP1,cCwt,0X,eCwtf,f,14,0.936507937
RP1,cCwt,0X,eCwtf,f,15,0.952380952
RP1,cCwt,0X,eCwtf,f,16,0.952380952
RP1,cCwt,0X,eCwtf,f,17,0.952380952
RP1,cCwt,0X,eCwtf,f,18,0.952380952
RP1,cCwt,0X,eCwtf,f,19,0.936507937
RP1,cCwt,0X,eCwtf,f,20,0.920634921
RP1,cCwt,0X,hCwtm,m,1,0.793650794
RP1,cCwt,0X,hCwtm,m,2,0.825396825
RP1,cCwt,0X,hCwtm,m,3,0.825396825
RP1,cCwt,0X,hCwtm,m,4,0.793650794
RP1,cCwt,0X,hCwtm,m,5,0.793650794
RP1,cCwt,0X,hCwtm,m,6,0.80952381
RP1,cCwt,0X,hCwtm,m,7,0.825396825
RP1,cCwt,0X,hCwtm,m,8,0.825396825
RP1,cCwt,0X,hCwtm,m,9,0.80952381
RP1,cCwt,0X,hCwtm,m,10,0.793650794
RP1,cCwt,0X,hCwtm,m,11,0.825396825
RP1,cCwt,0X,hCwtm,m,12,0.793650794
RP1,cCwt,0X,hCwtm,m,13,0.80952381
RP1,cCwt,0X,hCwtm,m,14,0.793650794
RP1,cCwt,0X,hCwtm,m,15,0.80952381
RP1,cCwt,0X,hCwtm,m,16,0.793650794
RP1,cCwt,0X,hCwtm,m,17,0.793650794
RP1,cCwt,0X,hCwtm,m,18,0.857142857
RP1,cCwt,0X,hCwtm,m,19,0.841269841
RP1,cCwt,0X,hCwtm,m,20,0.793650794
RP2,aFLX,2X,aFLX2X,f,1,0.904761905
RP2,aFLX,2X,aFLX2X,f,2,0.920634921
RP2,aFLX,2X,aFLX2X,f,3,0.936507937
RP2,aFLX,2X,aFLX2X,f,4,0.904761905
RP2,aFLX,2X,aFLX2X,f,5,0.936507937
RP2,aFLX,2X,aFLX2X,f,6,0.952380952
RP2,aFLX,2X,aFLX2X,f,7,0.936507937
RP2,aFLX,2X,aFLX2X,f,8,0.952380952
RP2,aFLX,2X,aFLX2X,f,9,0.920634921
RP2,aFLX,2X,aFLX2X,f,10,0.936507937
RP2,aFLX,2X,aFLX2X,f,11,0.936507937
RP2,aFLX,2X,aFLX2X,f,12,0.936507937
RP2,aFLX,2X,aFLX2X,f,13,0.936507937
RP2,aFLX,2X,aFLX2X,f,14,0.952380952
RP2,aFLX,2X,aFLX2X,f,15,0.920634921
RP2,aFLX,2X,aFLX2X,f,16,0.952380952
RP2,aFLX,2X,aFLX2X,f,17,0.952380952
RP2,aFLX,2X,aFLX2X,f,18,0.904761905
RP2,aFLX,2X,aFLX2X,f,19,0.952380952
RP2,aFLX,2X,aFLX2X,f,20,0.920634921
RP2,aFLX,1X,bFLX1X,f,1,0.952380952
RP2,aFLX,1X,bFLX1X,f,2,0.888888889
RP2,aFLX,1X,bFLX1X,f,3,0.952380952
RP2,aFLX,1X,bFLX1X,f,4,0.952380952
RP2,aFLX,1X,bFLX1X,f,5,0.904761905
RP2,aFLX,1X,bFLX1X,f,6,0.952380952
RP2,aFLX,1X,bFLX1X,f,7,0.920634921
