rep_population,regime,type,sex,regimetype,block,vial,standard
RP2,aFLX,2X,f,aFLX2X,C,11,-0.05209247
RP2,aFLX,2X,f,aFLX2X,C,12,-1.264636921
RP2,aFLX,1X,f,bFLX1X,C,1,0.342944636
RP2,aFLX,1X,f,bFLX1X,C,2,-0.710487647
RP2,aFLX,1X,f,bFLX1X,C,3,0.825767766
RP2,aFLX,1X,f,bFLX1X,C,4,-0.973845718
RP2,aFLX,1X,f,bFLX1X,C,5,0.474623671
RP2,aFLX,1X,f,bFLX1X,C,6,-0.842166683
RP2,aFLX,1X,f,bFLX1X,C,7,-0.556862106
RP2,aFLX,1X,f,bFLX1X,C,8,-0.770840539
RP2,aFLX,1X,f,bFLX1X,C,9,-1.12747126
RP2,aFLX,1X,f,bFLX1X,C,10,-0.183771506
RP2,aFLX,1X,f,bFLX1X,C,11,0.271618492
RP2,aFLX,1X,f,bFLX1X,C,12,-0.9080062
RP2,aFLX,1X,m,fFLXm,A,1,0.300615748
RP2,aFLX,1X,m,fFLXm,A,2,-0.116837466
RP2,aFLX,1X,m,fFLXm,A,3,0.976732894
RP2,aFLX,1X,m,fFLXm,A,4,0.419874757
RP2,aFLX,1X,m,fFLXm,A,5,0.33258581
RP2,aFLX,1X,m,fFLXm,A,6,3.632515471
RP2,aFLX,1X,m,fFLXm,B,1,-1.465749379
RP2,aFLX,1X,m,fFLXm,B,2,-0.230081002
RP2,aFLX,1X,m,fFLXm,B,3,-1.602742361
RP2,aFLX,1X,m,fFLXm,B,4,0.951030004
RP2,aFLX,1X,m,fFLXm,B,5,-0.988668821
RP2,aFLX,1X,m,fFLXm,B,6,1.102872567
RP2,bCFM,2X,f,cCFM2X,C,1,-0.5349156
RP2,bCFM,2X,f,cCFM2X,C,2,0.123479577
RP2,bCFM,2X,f,cCFM2X,C,3,-0.556862106
RP2,bCFM,2X,f,cCFM2X,C,4,-1.01773873
RP2,bCFM,2X,f,cCFM2X,C,5,0.167372589
RP2,bCFM,2X,f,cCFM2X,C,6,0.299051624
RP2,bCFM,2X,f,cCFM2X,C,7,-0.425183071
RP2,bCFM,2X,f,cCFM2X,C,8,-0.491022588
RP2,bCFM,2X,f,cCFM2X,C,9,-2.641780167
RP2,bCFM,2X,f,cCFM2X,C,10,-0.556862106
RP2,bCFM,2X,f,cCFM2X,C,11,-0.710487647
RP2,bCFM,2X,f,cCFM2X,C,12,-1.588347883
RP2,bCFM,1X,f,dCFM1X,C,1,-0.995792224
RP2,bCFM,1X,f,dCFM1X,C,2,0.408784154
RP2,bCFM,1X,f,dCFM1X,C,3,1.067179331
RP2,bCFM,1X,f,dCFM1X,C,4,1.615841978
RP2,bCFM,1X,f,dCFM1X,C,5,0.781874754
RP2,bCFM,1X,f,dCFM1X,C,6,0.035693553
RP2,bCFM,1X,f,dCFM1X,C,7,-0.271557529
RP2,bCFM,1X,f,dCFM1X,C,8,-0.249611023
RP2,bCFM,1X,f,dCFM1X,C,9,-1.917545472
RP2,bCFM,1X,f,dCFM1X,C,10,0.584356201
RP2,bCFM,1X,f,dCFM1X,C,11,-0.5349156
RP2,bCFM,1X,f,dCFM1X,C,12,-0.315450541
RP2,bCFM,1X,m,gCFMm,A,1,-1.217850433
RP2,bCFM,1X,m,gCFMm,A,2,-1.973024432
RP2,bCFM,1X,m,gCFMm,A,3,-0.372466308
RP2,bCFM,1X,m,gCFMm,A,4,-0.60330868
RP2,bCFM,1X,m,gCFMm,A,5,0.373615322
RP2,bCFM,1X,m,gCFMm,A,6,0.85975373
RP2,bCFM,1X,m,gCFMm,B,1,-0.632355708
RP2,bCFM,1X,m,gCFMm,B,2,0.651161567
RP2,bCFM,1X,m,gCFMm,B,3,-0.142959538
RP2,bCFM,1X,m,gCFMm,B,4,0.55967296
RP2,bCFM,1X,m,gCFMm,B,5,1.105068808
RP2,bCFM,1X,m,gCFMm,B,6,-0.503337516
RP2,cCwt,0X,f,eCwtf,C,1,0.540463189
RP2,cCwt,0X,f,eCwtf,C,2,0.057640059
RP2,cCwt,0X,f,eCwtf,C,3,-0.447129577
RP2,cCwt,0X,f,eCwtf,C,4,0.80382126
RP2,cCwt,0X,f,eCwtf,C,5,-0.386776685
RP2,cCwt,0X,f,eCwtf,C,6,-0.277044156
RP2,cCwt,0X,f,eCwtf,C,7,-0.523942347
RP2,cCwt,0X,f,eCwtf,C,8,-0.776327165
RP2,cCwt,0X,f,eCwtf,C,9,-1.171364271
RP2,cCwt,0X,f,eCwtf,C,10,-1.917545472
RP2,cCwt,0X,f,eCwtf,C,11,-1.039685236
RP2,cCwt,0X,f,eCwtf,C,12,0.299051624
RP2,cCwt,0X,m,hCwtm,A,1,0.865788892
RP2,cCwt,0X,m,hCwtm,A,2,0.227226707
RP2,cCwt,0X,m,hCwtm,A,3,0.273104627
RP2,cCwt,0X,m,hCwtm,A,4,0.499321967
RP2,cCwt,0X,m,hCwtm,A,5,-0.365308761
RP2,cCwt,0X,m,hCwtm,A,6,0.76084872
RP2,cCwt,0X,m,hCwtm,B,1,0.063255159
RP2,cCwt,0X,m,hCwtm,B,2,-0.918472942
RP2,cCwt,0X,m,hCwtm,B,3,-1.635357866
RP2,cCwt,0X,m,hCwtm,B,4,-2.348656386
RP2,cCwt,0X,m,hCwtm,B,5,-0.854955768
RP2,cCwt,0X,m,hCwtm,B,6,-0.540600864
RP3,aFLX,2X,f,aFLX2X,C,1,0.342944636
RP3,aFLX,2X,f,aFLX2X,C,2,-2.817352214
RP3,aFLX,2X,f,aFLX2X,C,3,-0.447129577
RP3,aFLX,2X,f,aFLX2X,C,4,-1.12747126
RP3,aFLX,2X,f,aFLX2X,C,5,-0.057579097
RP3,aFLX,2X,f,aFLX2X,C,6,-0.929952706
RP3,aFLX,2X,f,aFLX2X,C,7,0.079586565
RP3,aFLX,2X,f,aFLX2X,C,8,-0.139878494
RP3,aFLX,2X,f,aFLX2X,C,9,0.765414875
RP3,aFLX,2X,f,aFLX2X,C,10,-0.622701624
RP3,aFLX,2X,f,aFLX2X,C,11,0.167372589
RP3,aFLX,2X,f,aFLX2X,C,12,-0.403236565
RP3,aFLX,1X,f,bFLX1X,C,1,0.244185359
RP3,aFLX,1X,f,bFLX1X,C,2,0.957446801
RP3,aFLX,1X,f,bFLX1X,C,3,-0.732434153
RP3,aFLX,1X,f,bFLX1X,C,4,-0.556862106
RP3,aFLX,1X,f,bFLX1X,C,5,-0.249611023
RP3,aFLX,1X,f,bFLX1X,C,6,0.825767766
RP3,aFLX,1X,f,bFLX1X,C,7,-0.9080062
RP3,aFLX,1X,f,bFLX1X,C,8,0.107019698
RP3,aFLX,1X,f,bFLX1X,C,9,0.326484757
RP3,aFLX,1X,f,bFLX1X,C,10,-1.412775836
RP3,aFLX,1X,f,bFLX1X,C,11,-0.304477288
RP3,aFLX,1X,f,bFLX1X,C,12,0.299051624
RP3,aFLX,1X,m,fFLXm,A,1,-1.20553945
RP3,aFLX,1X,m,fFLXm,A,2,-2.31133965
RP3,aFLX,1X,m,fFLXm,A,3,-1.9823888
RP3,aFLX,1X,m,fFLXm,A,4,0.253112884
RP3,aFLX,1X,m,fFLXm,A,5,-0.62855833
RP3,aFLX,1X,m,fFLXm,A,6,1.121476026
RP3,aFLX,1X,m,fFLXm,B,1,0.433539938
RP3,aFLX,1X,m,fFLXm,B,2,0.233156031
RP3,aFLX,1X,m,fFLXm,B,3,-1.084980858
RP3,aFLX,1X,m,fFLXm,B,4,-0.662814222
RP3,aFLX,1X,m,fFLXm,B,5,0.657279206
RP3,aFLX,1X,m,fFLXm,B,6,-0.365863197
RP3,bCFM,2X,f,cCFM2X,C,1,-1.98338499
RP3,bCFM,2X,f,cCFM2X,C,2,0.43073066
RP3,bCFM,2X,f,cCFM2X,C,3,-0.074038976
RP3,bCFM,2X,f,cCFM2X,C,4,0.737981742
RP3,bCFM,2X,f,cCFM2X,C,5,-0.057579097
RP3,bCFM,2X,f,cCFM2X,C,6,0.902580537
RP3,bCFM,2X,f,cCFM2X,C,7,-1.324989813
RP3,bCFM,2X,f,cCFM2X,C,8,0.101533071
RP3,bCFM,2X,f,cCFM2X,C,9,0.079586565
RP3,bCFM,2X,f,cCFM2X,C,10,-0.886059695
RP3,bCFM,2X,f,cCFM2X,C,11,-0.995792224
RP3,bCFM,2X,f,cCFM2X,C,12,-0.622701624
RP3,bCFM,1X,f,dCFM1X,C,1,1.039746198
RP3,bCFM,1X,f,dCFM1X,C,2,-0.622701624
RP3,bCFM,1X,f,dCFM1X,C,3,-0.139878494
RP3,bCFM,1X,f,dCFM1X,C,4,0.491083551
RP3,bCFM,1X,f,dCFM1X,C,5,0.759928248
RP3,bCFM,1X,f,dCFM1X,C,6,0.233212106
RP3,bCFM,1X,f,dCFM1X,C,7,0.277105118
RP3,bCFM,1X,f,dCFM1X,C,8,-0.293504035
RP3,bCFM,1X,f,dCFM1X,C,9,0.211265601
RP3,bCFM,1X,f,dCFM1X,C,10,-0.886059695
RP3,bCFM,1X,f,dCFM1X,C,11,-0.05209247
RP3,bCFM,1X,f,dCFM1X,C,12,-0.161825
RP3,bCFM,1X,m,gCFMm,A,1,0.753662691
RP3,bCFM,1X,m,gCFMm,A,2,-0.746398202
RP3,bCFM,1X,m,gCFMm,A,3,1.275030867
RP3,bCFM,1X,m,gCFMm,A,4,-0.023242855
RP3,bCFM,1X,m,gCFMm,A,5,-0.10380539
RP3,bCFM,1X,m,gCFMm,A,6,-1.578968518
RP3,bCFM,1X,m,gCFMm,B,1,-1.109313864
RP3,bCFM,1X,m,gCFMm,B,2,0.840763276
RP3,bCFM,1X,m,gCFMm,B,3,1.548668076
RP3,bCFM,1X,m,gCFMm,B,4,-0.561152165
RP3,bCFM,1X,m,gCFMm,B,5,-0.187677552
RP3,bCFM,1X,m,gCFMm,B,6,0.326520863
RP3,cCwt,0X,f,eCwtf,C,1,3.130150886
RP3,cCwt,0X,f,eCwtf,C,2,0.299051624
RP3,cCwt,0X,f,eCwtf,C,3,2.246804023
RP3,cCwt,0X,f,eCwtf,C,4,-0.337397047
RP3,cCwt,0X,f,eCwtf,C,5,0.496570177
RP3,cCwt,0X,f,eCwtf,C,6,1.571948967
RP3,cCwt,0X,f,eCwtf,C,7,0.381351021
RP3,cCwt,0X,f,eCwtf,C,8,-0.578808612
RP3,cCwt,0X,f,eCwtf,C,9,-1.12747126
RP3,cCwt,0X,f,eCwtf,C,10,0.765414875
RP3,cCwt,0X,f,eCwtf,C,11,-1.538968245
RP3,cCwt,0X,f,eCwtf,C,12,-2.005331496
RP3,cCwt,0X,m,hCwtm,A,1,0.319207796
RP3,cCwt,0X,m,hCwtm,A,2,0.495175846
RP3,cCwt,0X,m,hCwtm,A,3,-1.14628459
RP3,cCwt,0X,m,hCwtm,A,4,1.298489273
RP3,cCwt,0X,m,hCwtm,A,5,-0.56322022
RP3,cCwt,0X,m,hCwtm,A,6,-0.844817499
RP3,cCwt,0X,m,hCwtm,B,1,-0.019184859
RP3,cCwt,0X,m,hCwtm,B,2,-0.315809597
RP3,cCwt,0X,m,hCwtm,B,3,-0.664751966
RP3,cCwt,0X,m,hCwtm,B,4,-1.334373864
RP3,cCwt,0X,m,hCwtm,B,5,0.823471947
RP3,cCwt,0X,m,hCwtm,B,6,-1.142764151
RP4,aFLX,2X,f,aFLX2X,C,1,-0.227664517
RP4,aFLX,2X,f,aFLX2X,C,2,0.43073066
RP4,aFLX,2X,f,aFLX2X,C,3,-1.648700775
RP4,aFLX,2X,f,aFLX2X,C,4,0.299051624
RP4,aFLX,2X,f,aFLX2X,C,5,0.875147404
RP4,aFLX,2X,f,aFLX2X,C,6,0.847714272
RP4,aFLX,2X,f,aFLX2X,C,7,-0.798273671
RP4,aFLX,2X,f,aFLX2X,C,8,-1.273781299
RP4,aFLX,2X,f,aFLX2X,C,9,-0.249611023
RP4,aFLX,2X,f,aFLX2X,C,10,-1.610294389
RP4,aFLX,2X,f,aFLX2X,C,11,0.189319095
RP4,aFLX,2X,f,aFLX2X,C,12,-0.249611023
RP4,aFLX,1X,f,bFLX1X,C,1,-0.139878494
RP4,aFLX,1X,f,bFLX1X,C,2,0.255158612
RP4,aFLX,1X,f,bFLX1X,C,3,0.13445283
RP4,aFLX,1X,f,bFLX1X,C,4,0.255158612
RP4,aFLX,1X,f,bFLX1X,C,5,0.233212106
RP4,aFLX,1X,f,bFLX1X,C,6,0.935500295
RP4,aFLX,1X,f,bFLX1X,C,7,0.189319095
RP4,aFLX,1X,f,bFLX1X,C,8,1.506109449
RP4,aFLX,1X,f,bFLX1X,C,9,0.869660778
RP4,aFLX,1X,f,bFLX1X,C,10,0.496570177
RP4,aFLX,1X,f,bFLX1X,C,11,0.189319095
RP4,aFLX,1X,f,bFLX1X,C,12,0.935500295
RP4,aFLX,1X,m,fFLXm,A,1,0.322583286
RP4,aFLX,1X,m,fFLXm,A,2,-1.014748196
RP4,aFLX,1X,m,fFLXm,A,3,1.023136702
RP4,aFLX,1X,m,fFLXm,A,4,-0.120203712
RP4,aFLX,1X,m,fFLXm,A,5,-0.898604687
RP4,aFLX,1X,m,fFLXm,A,6,-0.236964768
RP4,aFLX,1X,m,fFLXm,B,1,-0.097155568
RP4,aFLX,1X,m,fFLXm,B,2,0.497838119
RP4,aFLX,1X,m,fFLXm,B,3,-0.598656926
RP4,aFLX,1X,m,fFLXm,B,4,0.055463405
RP4,aFLX,1X,m,fFLXm,B,5,-0.272420835
RP4,aFLX,1X,m,fFLXm,B,6,0.692131212
RP4,bCFM,2X,f,cCFM2X,C,1,-1.264636921
RP4,bCFM,2X,f,cCFM2X,C,2,-0.880573068
RP4,bCFM,2X,f,cCFM2X,C,3,0.628249213
RP4,bCFM,2X,f,cCFM2X,C,4,-1.654187401
RP4,bCFM,2X,f,cCFM2X,C,5,-0.008199458
RP4,bCFM,2X,f,cCFM2X,C,6,-0.864113189
RP4,bCFM,2X,f,cCFM2X,C,7,0.452677166
RP4,bCFM,2X,f,cCFM2X,C,8,-0.008199458
RP4,bCFM,2X,f,cCFM2X,C,9,-0.293504035
RP4,bCFM,2X,f,cCFM2X,C,10,0.43073066
RP4,bCFM,2X,f,cCFM2X,C,11,0.123479577
RP4,bCFM,2X,f,cCFM2X,C,12,-1.083578248
RP4,bCFM,1X,f,dCFM1X,C,1,0.847714272
RP4,bCFM,1X,f,dCFM1X,C,2,0.737981742
RP4,bCFM,1X,f,dCFM1X,C,3,3.59102751
RP4,bCFM,1X,f,dCFM1X,C,4,1.067179331
RP4,bCFM,1X,f,dCFM1X,C,5,1.154965354
RP4,bCFM,1X,f,dCFM1X,C,6,0.825767766
RP4,bCFM,1X,f,dCFM1X,C,7,0.781874754
RP4,bCFM,1X,f,dCFM1X,C,8,-0.008199458
RP4,bCFM,1X,f,dCFM1X,C,9,-2.137010531
RP4,bCFM,1X,f,dCFM1X,C,10,0.540463189
RP4,bCFM,1X,f,dCFM1X,C,11,-0.929952706
RP4,bCFM,1X,f,dCFM1X,C,12,-0.754380659
RP4,bCFM,1X,m,gCFMm,A,1,2.130125378
RP4,bCFM,1X,m,gCFMm,A,2,0.55819157
RP4,bCFM,1X,m,gCFMm,A,3,0.265966634
RP4,bCFM,1X,m,gCFMm,A,4,1.40056743
RP4,bCFM,1X,m,gCFMm,A,5,1.866801651
RP4,bCFM,1X,m,gCFMm,A,6,1.155315166
RP4,bCFM,1X,m,gCFMm,B,1,1.948211358
RP4,bCFM,1X,m,gCFMm,B,2,0.992968707
RP4,bCFM,1X,m,gCFMm,B,3,-0.142959538
RP4,bCFM,1X,m,gCFMm,B,4,1.434872187
RP4,bCFM,1X,m,gCFMm,B,5,-0.26614004
RP4,bCFM,1X,m,gCFMm,B,6,-1.110682733
RP4,cCwt,0X,f,eCwtf,C,1,0.436217286
RP4,cCwt,0X,f,eCwtf,C,2,-0.64464813
RP4,cCwt,0X,f,eCwtf,C,3,1.571948967
RP4,cCwt,0X,f,eCwtf,C,4,1.571948967
RP4,cCwt,0X,f,eCwtf,C,5,0.584356201
RP4,cCwt,0X,f,eCwtf,C,6,-1.368882824
RP4,cCwt,0X,f,eCwtf,C,7,0.372206644
RP4,cCwt,0X,f,eCwtf,C,8,0.452677166
RP4,cCwt,0X,f,eCwtf,C,9,0.672142225
RP4,cCwt,0X,f,eCwtf,C,10,-1.083578248
RP4,cCwt,0X,f,eCwtf,C,11,-0.293504035
RP4,cCwt,0X,f,eCwtf,C,12,-2.35647559
RP4,cCwt,0X,m,hCwtm,A,1,-1.923861505
RP4,cCwt,0X,m,hCwtm,A,2,0.047247361
RP4,cCwt,0X,m,hCwtm,A,3,-0.408608591
RP4,cCwt,0X,m,hCwtm,A,4,0.994296664
RP4,cCwt,0X,m,hCwtm,A,5,0.893953219
RP4,cCwt,0X,m,hCwtm,A,6,-0.015902241
RP4,cCwt,0X,m,hCwtm,B,1,-0.430275348
RP4,cCwt,0X,m,hCwtm,B,2,-0.038701661
RP4,cCwt,0X,m,hCwtm,B,3,-0.347375296
RP4,cCwt,0X,m,hCwtm,B,4,0.09989073
RP4,cCwt,0X,m,hCwtm,B,5,-0.910367618
RP4,cCwt,0X,m,hCwtm,B,6,-0.368480335
