rep_population,regime,type,sex,regimesex,vial,active,inactive,locoactive
RP3,bCFM,1X,m,eCFMm,5,4,6,0.4
RP3,cCwt,0X,f,cCwtf,1,5,5,0.5
RP3,cCwt,0X,f,cCwtf,2,2,8,0.2
RP3,cCwt,0X,f,cCwtf,3,3,7,0.3
RP3,cCwt,0X,f,cCwtf,4,2,8,0.2
RP3,cCwt,0X,f,cCwtf,5,1,9,0.1
RP3,cCwt,0X,m,fCwtm,1,6,4,0.6
RP3,cCwt,0X,m,fCwtm,2,3,7,0.3
RP3,cCwt,0X,m,fCwtm,3,1,9,0.1
RP3,cCwt,0X,m,fCwtm,4,6,4,0.6
RP3,cCwt,0X,m,fCwtm,5,2,8,0.2
RP4,aFLX,2X,f,aFLXf,1,3,7,0.3
RP4,aFLX,2X,f,aFLXf,2,2,8,0.2
RP4,aFLX,2X,f,aFLXf,3,4,6,0.4
RP4,aFLX,2X,f,aFLXf,4,1,9,0.1
RP4,aFLX,2X,f,aFLXf,5,4,6,0.4
RP4,aFLX,1X,f,aFLXf,1,4,6,0.4
RP4,aFLX,1X,f,aFLXf,2,7,3,0.7
RP4,aFLX,1X,f,aFLXf,3,1,9,0.1
RP4,aFLX,1X,f,aFLXf,4,3,7,0.3
RP4,aFLX,1X,f,aFLXf,5,2,8,0.2
RP4,aFLX,1X,m,dFLXm,1,2,8,0.2
RP4,aFLX,1X,m,dFLXm,2,5,5,0.5
RP4,aFLX,1X,m,dFLXm,3,4,6,0.4
RP4,aFLX,1X,m,dFLXm,4,1,9,0.1
RP4,aFLX,1X,m,dFLXm,5,2,8,0.2
RP4,bCFM,2X,f,bCFMf,1,1,9,0.1
RP4,bCFM,2X,f,bCFMf,2,2,8,0.2
RP4,bCFM,2X,f,bCFMf,3,2,8,0.2
RP4,bCFM,2X,f,bCFMf,4,5,5,0.5
RP4,bCFM,2X,f,bCFMf,5,3,7,0.3
RP4,bCFM,1X,f,bCFMf,1,2,8,0.2
RP4,bCFM,1X,f,bCFMf,2,1,9,0.1
RP4,bCFM,1X,f,bCFMf,3,3,7,0.3
RP4,bCFM,1X,f,bCFMf,4,1,9,0.1
RP4,bCFM,1X,f,bCFMf,5,2,8,0.2
RP4,bCFM,1X,m,eCFMm,1,2,8,0.2
RP4,bCFM,1X,m,eCFMm,2,3,7,0.3
RP4,bCFM,1X,m,eCFMm,3,3,7,0.3
RP4,bCFM,1X,m,eCFMm,4,2,8,0.2
RP4,bCFM,1X,m,eCFMm,5,2,8,0.2
RP4,cCwt,0X,f,cCwtf,1,2,8,0.2
RP4,cCwt,0X,f,cCwtf,2,3,7,0.3
RP4,cCwt,0X,f,cCwtf,3,1,9,0.1
RP4,cCwt,0X,f,cCwtf,4,2,8,0.2
RP4,cCwt,0X,f,cCwtf,5,5,5,0.5
RP4,cCwt,0X,m,fCwtm,1,3,7,0.3
RP4,cCwt,0X,m,fCwtm,2,2,8,0.2
RP4,cCwt,0X,m,fCwtm,3,6,4,0.6
RP4,cCwt,0X,m,fCwtm,4,1,9,0.1
RP4,cCwt,0X,m,fCwtm,5,10,0,1
